                  Delete,删除
Cannot apply coupon: cart not initialized,无法使用优惠券：购物车未初始化
Cannot remove coupon: cart not initialized,无法移除优惠券：购物车未初始化
Cantabria,Cantabria
Cantemir,Cantemir
Canterbury,Canterbury
Cao Bang,Cao Bang
Cape Verde,Cape Verde
Capiz,Capiz
Capture,收款
Capture Payment,收款
Captured,已收款
Caqueta,Caqueta
Carabobo,Carabobo
Caras-Severin,Caras-Severin
Carazo,Carazo
Carchi,Carchi
Carlow,Carlow
Carnikavas novads,Carnikavas novads
Carrier,承运商
Cart ID is required to checkout,结账需要购物车 ID
Cart is not initialized,购物车未初始化
Cartago,Cartago
Casanare,Casanare
Cash on delivery,货到付款
Cash on Delivery,货到付款
Cash On Delivery Payment,货到付款
Caska,Caska
Castelo Branco,Castelo Branco
Castilla y Leon,Castilla y Leon
Castilla-La Mancha,Castilla-La Mancha
Castries,Castries
Catalog,商品目录
Catalunya,Catalunya
Catamarca,Catamarca
Catanduanes,Catanduanes
Categories,分类
Category,分类
Category created successfully!,分类创建成功！
Category Image,分类图片
Category Name,分类名称
Category name is required,请填写分类名称
Cauca,Cauca
Causeni,Causeni
Cavan,Cavan
Cavite,Cavite
Cayman Islands,Cayman Islands
Cayo,Cayo
CC,抄送
Ceara,Ceara
Cebu,Cebu
Celje,Celje
Centar Zupa,Centar Zupa
Central,Central
Central African Republic,Central African Republic
Central Andros,Central Andros
Central Equatoria,Central Equatoria
Central Province,Central Province
Central River,Central River
Centrale,Centrale
Centre,Centre
Centre-Val de Loire,Centre-Val de Loire
Centro Sur,Centro Sur
Cerknica,Cerknica
Cerkno,Cerkno
Cerro Largo,Cerro Largo
Cesar,Cesar
Cesinovo-Oblesevo,Cesinovo-Oblesevo
Cesu novads,Cesu novads
Cesvaines novads,Cesvaines novads
Cetinje,Cetinje
Ceuta,Ceuta
Chachoengsao,Chachoengsao
Chaco,Chaco
Chad,Chad
Chagang-do,Chagang-do
Chaguanas,Chaguanas
Chahar Mahal va Bakhtiari,Chahar Mahal va Bakhtiari
Chai Nat,Chai Nat
Chaiyaphum,Chaiyaphum
Chalatenango,Chalatenango
Champasak,Champasak
Chandigarh,Chandigarh
Change,更改
Changelog,更新日志
Changhua,Changhua
Channels,渠道
Chanthaburi,Chanthaburi
Chaouia-Ouardigha,Chaouia-Ouardigha
Chari-Baguirmi,Chari-Baguirmi
Charlotte,Charlotte
Chatham Islands Territory,Chatham Islands Territory
Chechenskaya Respublika,Chechenskaya Respublika
Checkout,结账
CHECKOUT,去结账
Checkout success,结账成功
Cherkaska oblast,Cherkaska oblast
Chernihivska oblast,Chernihivska oblast
Chernivetska oblast,Chernivetska oblast
Chhattisgarh,Chhattisgarh
Chhukha,Chhukha
Chiang Mai,Chiang Mai
Chiang Rai,Chiang Rai
Chiapas,Chiapas
Chiayi,Chiayi
Chiba,Chiba
Chiesanuova,Chiesanuova
Chihuahua,Chihuahua
Chikwawa,Chikwawa
Child categories,子分类
Chile,Chile
Chimaltenango,Chimaltenango
Chimborazo,Chimborazo
Chimbu,Chimbu
Chin,Chin
China,中国
Chinandega,Chinandega
Chiquimula,Chiquimula
Chiradzulu,Chiradzulu
Chiriqui,Chiriqui
Chisinau,Chisinau
Chitipa,Chitipa
Chittagong,Chittagong
Chlef,Chlef
Choco,Choco
Choluteca,Choluteca
Chon Buri,Chon Buri
Chongqing,重庆市
Chontales,Chontales
Choose Attribute Groups,选择属性组
Choose Categories,选择分类
Choose Collections,选择商品集
Choose Product SKU,选择商品 SKU
Choose SKU,选择 SKU
Choose where you ship and how much you charge for shipping.,选择配送区域及运费。
Christ Church,Christ Church
Christmas Island,Christmas Island
Chubut,Chubut
Chukotskiy avtonomnyy okrug,Chukotskiy avtonomnyy okrug
Chumphon,Chumphon
Chungcheongbuk-do,Chungcheongbuk-do
Chungcheongnam-do,Chungcheongnam-do
Chuquisaca,Chuquisaca
Churn,流失
Chuuk,Chuuk
Chuvashskaya Respublika,Chuvashskaya Respublika
Chuy,Chuy
Cibitoke,Cibitoke
Ciblas novads,Ciblas novads
Ciego de Avila,Ciego de Avila
Cienfuegos,Cienfuegos
Cimislia,Cimislia
City,城市
City is required,请填写城市
City of Freeport,City of Freeport
Ciudad Autonoma de Buenos Aires,Ciudad Autonoma de Buenos Aires
Ciudad de Mexico,Ciudad de Mexico
Clare,Clare
Clarendon,Clarendon
Classes,类
Clear,清除
Clear all,清除全部
Clear All,清除全部
Clear cache,清除缓存
Clear categories,清除分类
Clear filter,清除筛选
Clear Filters,清除筛选
Client ID,客户端 ID
Client secret,客户端密钥
Client Secret,Client Secret
Close,关闭
Close store,暂停营业
Closed,已关闭
Cluj,Cluj
Cms pages,CMS 页面
Cms Pages,CMS 页面
Coahuila de Zaragoza,Coahuila de Zaragoza
Cochabamba,Cochabamba
Cocle,Cocle
Cocos [Keeling] Islands,Cocos [Keeling] Islands
Code,代码
Cohorts,群组
Coimbra,Coimbra
Cojedes,Cojedes
Colima,Colima
Collapse,折叠
Collection,商品集
Collection Code,商品集代码
Collection Name,商品集名称
Collections,商品集
Collines,Collines
Colombia,Colombia
Colon,Colon
Colonia,Colonia
Color,颜色
Colorado,Colorado
Columns,列
Comayagua,Comayagua
Comments,评论
Commewijne,Commewijne
Commission,佣金
Comoe,Comoe
Comoros,Comoros
Compare at price,原价
Complete Order,完成订单
Completed,已完成
Conakry,Conakry
Concepcion,Concepcion
Conditions,条件
Configurable,可配置
Configure,配置
Configure tax classes and tax rates,配置税类与税率
Configure the available payment methods,配置可用支付方式
Configure the tax classes that will be available to your customers at checkout.,配置结账时可用的税类。
Configure your Cash On Delivery payment gateway settings,配置货到付款支付网关
Configure your Paypal payment gateway settings,配置 PayPal 支付网关
Configure your store information,配置店铺信息
Configure your Stripe payment gateway settings,配置 Stripe 支付网关
Confirm,确认
Confirm Password,确认密码
Conflict,冲突
Congo - Brazzaville,Congo - Brazzaville
Congo - Kinshasa,Congo - Kinshasa
Connect,连接
Connect wallet,连接钱包
Connect your wallet and ensure sufficient NBC balance,请连接钱包并确保 NBC 余额充足
Connect your Web3 wallet to view NBC balance and pay with tokens at checkout.,连接 Web3 钱包以查看 NBC 余额，并在结账时使用代币支付。
Connecticut,Connecticut
Connecting wallet…,正在连接钱包…
Connecting…,连接中…
Connection failed,连接失败
Connection successful,连接成功
Consent,同意
Constanta,Constanta
Constantine,Constantine
Contact for pricing,联系询价
Contact information,联系信息
Contact Information,联系信息
Contacts,联系人
Contains,包含
Content,内容
Continue selling when out of stock,缺货时继续销售
Continue shopping,继续购物
Continue Shopping,继续购物
CONTINUE SHOPPING,继续购物
Continue to payment,Continue to payment
Controllers,控制器
Conveniently pay with cash at your doorstep when your order is delivered.,订单送达时可在门口现金支付。
Conversion rate,转化率
Cook Islands,Cook Islands
Cookie policy,Cookie 政策
Cookies,Cookie
Copan,Copan
Copied to clipboard,已复制到剪贴板
Copperbelt,Copperbelt
Copy,复制
Coquimbo,Coquimbo
Cordillera,Cordillera
Cordoba,Cordoba
Cork,Cork
Coronie,Coronie
Corozal,Corozal
Corrientes,Corrientes
Corse,Corse
Cortes,Cortes
Corum,Corum
Cost per item,成本价
Costa Rica,Costa Rica
Cotabato,Cotabato
Côte d’Ivoire,Côte d’Ivoire
Cotopaxi,Cotopaxi
Couffo,Couffo
Country,国家
Country is required,请选择国家
Coupon,优惠券
Coupon applied successfully!,优惠券已应用
Coupon Code,优惠码
"Coupon code can only contain letters, numbers, underscores, and hyphens",优惠码只能包含字母、数字、下划线和连字符
Coupon code is required,请填写优惠码
Coupon created successfully!,优惠券创建成功！
